item_id,Length_mm,Width_mm,Height_mm,OD_mm,OD_Size_mm
6b1070504219,900.0,,900.0,,
3a20b95e077a,1000.0,,1000.0,,
4ef2119e74f8,1100.0,,1100.0,,
9b1d6fb8540e,1200.0,,1200.0,,
9546f9a75700,1300.0,,1300.0,,
03ca3e067109,1400.0,,1400.0,,
fa1c5e524e62,1500.0,,1500.0,,
b55280b89008,1600.0,,1600.0,,
5e925dc680eb,1700.0,,1700.0,,
674f6181afdd,1800.0,,1800.0,,
0c06c25718a2,1900.0,,1900.0,,
311b9f2b7fab,2000.0,,2000.0,,
77187ea8818f,2100.0,,2100.0,,
12eec4008016,2200.0,,2200.0,,
c0c2c364a629,2300.0,,2300.0,,
394e9ac0df3a,2400.0,,2400.0,,
12f6360ae21e,2500.0,,2500.0,,
135c7b7e46a0,2600.0,,2600.0,,
c70c84de6e05,900.0,,900.0,,
db276229b488,1000.0,,1000.0,,
4a39f2051586,1100.0,,1100.0,,
630258de98ee,1200.0,,1200.0,,
5c9a74a16137,1300.0,,1300.0,,
1d6215afd85e,1400.0,,1400.0,,
a0b5e665cb6f,1500.0,,1500.0,,
25225f392b2c,1600.0,,1600.0,,
e3235ca369b2,1700.0,,1700.0,,
51a9ebc1e054,1800.0,,1800.0,,
29344dad4a22,1900.0,,1900.0,,
91c5a8cc9050,2000.0,,2000.0,,
c9566c853ef7,2100.0,,2100.0,,
958bfbacbd8f,2200.0,,2200.0,,
0d519e2c261b,2300.0,,2300.0,,
baa56e30c21d,2400.0,,2400.0,,
3299bc80a08c,2500.0,,2500.0,,
b24d10ba6885,2600.0,,2600.0,,
fc853352f072,365.0,,365.0,,
6f6524a96cc7,465.0,,465.0,,
513b6b992e33,565.0,,565.0,,
4b5a07d97a1a,665.0,,665.0,,
94e4160b1032,765.0,,765.0,,
3f72f2544fba,865.0,,865.0,,
26b690409d01,965.0,,965.0,,
deef6de8ed07,1065.0,,1065.0,,
230e6ada42b0,1165.0,,1165.0,,
a6da092d6f55,1265.0,,1265.0,,
41e92e22fe38,1365.0,,1365.0,,
3dfb9f91145b,1465.0,,1465.0,,
22118f91f91e,1565.0,,1565.0,,
05c172fc1cd4,1665.0,,1665.0,,
c2ec2cef3f44,1765.0,,1765.0,,
53c352b67013,1865.0,,1865.0,,
daa74973b2f5,1965.0,,1965.0,,
53a1a9625116,365.0,,365.0,,
7703cb3316bd,565.0,,565.0,,
b3a0304fafec,765.0,,765.0,,
7ab67d34bca9,965.0,,965.0,,
cbaadb2baa7a,1165.0,,1165.0,,
9fad483dc783,1365.0,,1365.0,,
27972a2b2034,1800.0,,1800.0,,
76f5f193f964,2000.0,,2000.0,,
ca8f622fbb47,2200.0,,2200.0,,
7308f548811c,600.0,,600.0,,
aabeee880ab1,900.0,,900.0,,
ecdb1f1d9147,1200.0,,1200.0,,
71f8658f8342,2000.0,,2000.0,,
497a5702c094,2500.0,,2500.0,,
a243d5a3a9df,3000.0,,3000.0,,
64d3f83741d4,600.0,,,,
c7403c6db6f9,,,835.0,190.0,
25f02eef95bd,,,1200.0,190.0,
51f3d5face66,,,1200.0,210.0,
2433976419c0,,,1200.0,210.0,
5ee679f7ae93,,,1200.0,190.0,
77b740991f8a,,,1200.0,210.0,
cda76fc0946e,,,1200.0,210.0,
7001735ea540,2000.0,,2000.0,,
3b5319e7f33d,,,,,
9b5ae30e0196,,,,,
eb84c62697a4,,,,,
f06fd8af3309,,,,,
92b63de75dba,,,1000.0,,
5e78907b4867,,,1000.0,,
6e5646b876c1,,,,130.0,130.0
68d3985b404c,,,,190.0,190.0
584626b45e29,100.0,100.0,,,
5d70d8f29324,150.0,150.0,,,
e47da9c88e7f,200.0,200.0,,,
b2d66dd55f5d,250.0,250.0,,,
68a9c396f507,300.0,300.0,,,
3a7938dc64b1,350.0,350.0,,,
b9688e3eff57,400.0,400.0,,,
6e6808046fca,450.0,450.0,,,
69618b93114c,500.0,500.0,,,
57d90d8b3e7c,550.0,550.0,,,
adbda0b8ca0b,600.0,600.0,,,
aa0b52630d87,100.0,100.0,100.0,,
81e8db527625,1000.0,,1000.0,,
9917354d2ef2,1200.0,,1200.0,,
fcddcbe7b661,,,1135.0,130.0,
35b4a7e99136,,,1175.0,190.0,
